Actual CPI value,Predicted CPI value,  Residuals
0.734042553,0.732658134,0.001384419
0.755319149,0.564202487,0.191116661
0.627659574,0.664827556,-0.037167982
0.670212766,0.582186004,0.088026762
0.5,0.640388181,-0.140388181
0.744680851,0.682446625,0.062234226
0.734042553,0.694510931,0.039531622
0.510638298,0.650819392,-0.140181094
0.79787234,0.672693442,0.125178898
0.829787234,0.660019781,0.169767453
0.542553191,0.646023636,-0.103470444
0.670212766,0.579017369,0.091195397
0.606382979,0.576248244,0.030134735
0.446808511,0.615712573,-0.168904063
0.755319149,0.647744827,0.107574322
0.744680851,0.723484707,0.021196144
0.553191489,0.606510892,-0.053319403
0.691489362,0.738726824,-0.047237463
0.755319149,0.695063117,0.060256032
0.531914894,0.595883671,-0.063968777
0.585106383,0.672653052,-0.087546669
0.755319149,0.64268229,0.112636859
0.606382979,0.700545127,-0.094162148
0.776595745,0.587018769,0.189576975
0.659574468,0.661535898,-0.00196143
0.617021277,0.652428672,-0.035407396
0.712765957,0.667863491,0.044902467
0.659574468,0.589955367,0.069619101
0.553191489,0.595565004,-0.042373514
0.574468085,0.624989427,-0.050521342
0.680851064,0.691262297,-0.010411233
0.670212766,0.58792948,0.082283286
0.510638298,0.699091353,-0.188453055
0.819148936,0.689957393,0.129191543
0.64893617,0.631126693,0.017809477
0.64893617,0.665483988,-0.016547818
0.606382979,0.68803075,-0.081647771
0.829787234,0.618298896,0.211488338
0.744680851,0.638726388,0.105954463
0.79787234,0.690046325,0.107826016
0.765957447,0.6969914,0.068966047
0.734042553,0.636596014,0.097446539
0.659574468,0.676070304,-0.016495836
0.808510638,0.702796481,0.105714157
0.553191489,0.634154632,-0.080963143
0.691489362,0.681064532,0.01042483
0.70212766,0.60488007,0.09724759
0.478723404,0.688542786,-0.209819382
0.574468085,0.683373387,-0.108905302
0.680851064,0.716123756,-0.035272692
0.64893617,0.665720796,-0.016784626
0.765957447,0.643839476,0.122117971
0.659574468,0.637249582,0.022324886
0.744680851,0.702543615,0.042137236
0.531914894,0.632352493,-0.1004376
0.79787234,0.709187209,0.088685132
0.85106383,0.666366916,0.184696914
0.563829787,0.647306666,-0.083476879
0.521276596,0.619038154,-0.097761558
0.755319149,0.597305118,0.158014031
0.585106383,0.568868881,0.016237501
0.659574468,0.656923843,0.002650625
0.691489362,0.619771665,0.071717697
0.64893617,0.640492609,0.008443561
0.638297872,0.676630437,-0.038332565
0.617021277,0.670537393,-0.053516116
0.606382979,0.562040043,0.044342936
0.585106383,0.667771479,-0.082665096
0.787234043,0.686603255,0.100630788
0.5,0.61942452,-0.11942452
0.755319149,0.675390859,0.07992829
0.638297872,0.59908979,0.039208082
0.712765957,0.721436278,-0.00867032
0.489361702,0.67744019,-0.188078488
0.510638298,0.637287372,-0.126649074
0.712765957,0.652189353,0.060576604
0.521276596,0.668711271,-0.147434676
0.680851064,0.734692288,-0.053841224
0.457446809,0.615989486,-0.158542677
0.808510638,0.699458933,0.109051705
0.595744681,0.632655479,-0.036910799
0.585106383,0.593687067,-0.008580684
0.531914894,0.600861472,-0.068946579
0.542553191,0.685627021,-0.14307383
0.680851064,0.612074266,0.068776798
0.691489362,0.618642104,0.072847257
0.234042553,0.642822677,-0.408780124
0.659574468,0.668886144,-0.009311676
0.946808511,0.656435029,0.290373482
0.819148936,0.65419355,0.164955386
0.659574468,0.596817248,0.06275722
0.734042553,0.656357753,0.0776848
0.617021277,0.631425545,-0.014404268
0.691489362,0.601121044,0.090368318
0.617021277,0.618419539,-0.001398262
0.563829787,0.581495473,-0.017665686
0.872340426,0.608594927,0.263745498
0.872340426,0.729616157,0.142724268
0.595744681,0.629314989,-0.033570309
0.680851064,0.657549286,0.023301778
0.627659574,0.606328815,0.021330759
0.606382979,0.624713602,-0.018330624
0.723404255,0.642264345,0.08113991
0.627659574,0.673657954,-0.04599838
0.617021277,0.57965947,0.037361806
0.79787234,0.659393007,0.138479333
0.659574468,0.651834114,0.007740354
0.585106383,0.673854006,-0.088747623
0.563829787,0.62990202,-0.066072233
0.659574468,0.640529916,0.019044552
0.808510638,0.655733816,0.152776823
0.861702128,0.631488519,0.230213609
0.787234043,0.636676578,0.150557464
0.70212766,0.696869465,0.005258195
0.723404255,0.684296177,0.039108078
0.723404255,0.660977232,0.062427023
0.744680851,0.65458741,0.090093441
0.531914894,0.66626824,-0.134353346
0.617021277,0.614410467,0.00261081
0.606382979,0.60475985,0.001623129
0.542553191,0.667699354,-0.125146162
0.787234043,0.677231259,0.110002783
0.638297872,0.693988558,-0.055690686
0.712765957,0.638431923,0.074334035
0.531914894,0.586862105,-0.054947212
0.819148936,0.681585732,0.137563205
0.670212766,0.638234296,0.03197847
0.64893617,0.613529109,0.035407061
0.35106383,0.667249986,-0.316186156
0.680851064,0.653257928,0.027593136
0.510638298,0.599584601,-0.088946303
0.712765957,0.659242903,0.053523054
0.680851064,0.664074338,0.016776726
0.436170213,0.582078209,-0.145907996
0.638297872,0.664875566,-0.026577694
0.521276596,0.655761157,-0.134484561
0.670212766,0.603284952,0.066927814
0.585106383,0.64609004,-0.060983657
0.744680851,0.676425176,0.068255675
0.585106383,0.686933305,-0.101826922
0.531914894,0.614644138,-0.082729245
0.691489362,0.667112716,0.024376646
0.776595745,0.691923123,0.084672622
0.744680851,0.605194756,0.139486095
0.553191489,0.697901074,-0.144709585
0.670212766,0.676941558,-0.006728792
0.638297872,0.623592004,0.014705869
0.670212766,0.633838212,0.036374554
0.595744681,0.618551923,-0.022807242
0.478723404,0.610175008,-0.131451604
1,0.686962137,0.313037863
0.478723404,0.598754881,-0.120031477
0.787234043,0.646607057,0.140626986
0.659574468,0.680508895,-0.020934426
0.5,0.640754408,-0.140754408
0.744680851,0.645670607,0.099010244
0.712765957,0.676928584,0.035837374
0.734042553,0.697957235,0.036085318
0.585106383,0.627514678,-0.042408295
0.840425532,0.670238772,0.17018676
0.627659574,0.665146347,-0.037486773
0.787234043,0.671034232,0.11619981
0.70212766,0.704710612,-0.002582952
0.691489362,0.663466557,0.028022804
0.638297872,0.565592516,0.072705357
0.595744681,0.65326461,-0.057519929
0.734042553,0.660353533,0.07368902
0.563829787,0.670117853,-0.106288065
0.808510638,0.680934538,0.1275761
0.765957447,0.717861202,0.048096245
0.553191489,0.570048859,-0.016857369
0.861702128,0.642948702,0.218753426
0.744680851,0.660564514,0.084116337
0.489361702,0.586030015,-0.096668312
0.691489362,0.623982176,0.067507186
0.627659574,0.621526517,0.006133057
0.521276596,0.660873041,-0.139596446
0.521276596,0.620774747,-0.099498151
0.723404255,0.647064491,0.076339765
0.659574468,0.661291355,-0.001716887
0.691489362,0.600972591,0.090516771
0.638297872,0.728308303,-0.090010431
0.606382979,0.604496504,0.001886475
0.712765957,0.661283447,0.05148251
0.595744681,0.620539869,-0.024795188
0.723404255,0.670763001,0.052641255
0.574468085,0.600604967,-0.026136882
0.510638298,0.583902459,-0.073264161
0.510638298,0.554130456,-0.043492158
0.670212766,0.588339522,0.081873244
0.638297872,0.669381007,-0.031083135
0.627659574,0.657028789,-0.029369215
0.574468085,0.597063619,-0.022595534
0.70212766,0.688650717,0.013476943
0.872340426,0.655238102,0.217102324
0.70212766,0.646039293,0.056088366
0.787234043,0.691546639,0.095687403
0.723404255,0.722903627,0.000500629
0.829787234,0.688017316,0.141769918
0.70212766,0.594721643,0.107406016
0.659574468,0.685892011,-0.026317543
0.872340426,0.655983914,0.216356511
0.553191489,0.610501427,-0.057309938
0.744680851,0.605736984,0.138943867
0.574468085,0.654291261,-0.079823176
0.606382979,0.586742549,0.01964043
0.574468085,0.653067137,-0.078599052
0.744680851,0.708476521,0.03620433
0.680851064,0.694369984,-0.013518921
0.638297872,0.658159177,-0.019861304
0.659574468,0.680340852,-0.020766384
0.595744681,0.6651234,-0.069378719
0.393617021,0.613102461,-0.21948544
0.585106383,0.666262561,-0.081156178
0.638297872,0.667245457,-0.028947585
0.680851064,0.722943581,-0.042092517
0.723404255,0.696917871,0.026486384
0.595744681,0.657175264,-0.061430583
0.755319149,0.669643415,0.085675734
0.670212766,0.680940649,-0.010727883
0.744680851,0.669928807,0.074752044
0.79787234,0.628953616,0.168918725
0.712765957,0.682604282,0.030161675
0.659574468,0.637828655,0.021745813
0.680851064,0.640847392,0.040003672
0.734042553,0.675177086,0.058865467
0.776595745,0.692144597,0.084451148
0.765957447,0.674166464,0.091790983
0.691489362,0.667318205,0.024171157
0.489361702,0.595296076,-0.105934374
0.70212766,0.679639005,0.022488655
0.638297872,0.661529063,-0.02323119
0.659574468,0.676239421,-0.016664953
0.563829787,0.641943818,-0.078114031
0.563829787,0.701909099,-0.138079312
0.776595745,0.693483688,0.083112057
0.712765957,0.723321822,-0.010555864
0.712765957,0.68450533,0.028260627
0.819148936,0.66894812,0.150200816
0.808510638,0.687609057,0.120901582
0.723404255,0.613114959,0.110289296
0.659574468,0.561412224,0.098162244
0.70212766,0.650019777,0.052107882
0.489361702,0.681696956,-0.192335254
0.70212766,0.62796473,0.074162929
0.691489362,0.685436818,0.006052544
0.553191489,0.646281072,-0.093089583
0.553191489,0.610887315,-0.057695826
0.563829787,0.613302535,-0.049472748
0.70212766,0.665799058,0.036328602
0.776595745,0.656121302,0.120474442
0.553191489,0.656403095,-0.103211605
0.478723404,0.620326327,-0.141602923
0.691489362,0.654550267,0.036939094
0.638297872,0.668653104,-0.030355232
0.638297872,0.66860611,-0.030308238
0.829787234,0.695288621,0.134498613
0.680851064,0.653243039,0.027608025
0.542553191,0.651258145,-0.108704953
0.680851064,0.582057275,0.098793789
0.776595745,0.680758373,0.095837372
0.595744681,0.574060094,0.021684587
0.64893617,0.606964779,0.041971392
0.5,0.663533176,-0.163533176
0.64893617,0.66761916,-0.01868299
0.776595745,0.684480994,0.09211475
0.457446809,0.603073986,-0.145627177
0.680851064,0.675194123,0.005656941
0.734042553,0.692130648,0.041911906
0.734042553,0.643644082,0.090398471
0.563829787,0.619322566,-0.055492778
0.79787234,0.680948726,0.116923614
0.755319149,0.672028148,0.083291001
0.553191489,0.588152392,-0.034960903
0.521276596,0.587439775,-0.06616318
0.744680851,0.65335088,0.091329971
0.723404255,0.630738295,0.09266596
0.723404255,0.695132718,0.028271538
0.638297872,0.632349118,0.005948754
0.489361702,0.637872024,-0.148510321
0.478723404,0.622545896,-0.143822492
0.680851064,0.69183616,-0.010985096
